iter	Passed	Remaining
582	21878	637
583	21920	600
584	21967	563
585	22007	525
586	22046	488
587	22085	450
588	22123	413
589	22160	375
590	22201	338
591	22240	300
592	22278	262
593	22315	225
594	22356	187
595	22397	150
596	22436	112
597	22473	75
598	22508	37
599	22540	0
