iter	Logloss
230	0.2528580551
231	0.252847076
232	0.2528363195
233	0.2528243625
234	0.2528091611
235	0.2527981166
236	0.2527874122
237	0.2527766101
238	0.2527658679
239	0.2527560677
240	0.2527433397
241	0.2527334609
242	0.2527172991
243	0.2526963163
244	0.2526846489
245	0.2526764215
246	0.2526606043
247	0.2526469638
248	0.2526354962
249	0.25261955
250	0.2526092184
251	0.2526003007
252	0.2525868094
253	0.2525774146
254	0.2525673037
255	0.2525590484
256	0.252546714
257	0.2525357729
258	0.2525230461
259	0.2525112627
260	0.252498656
261	0.2524878406
262	0.2524752422
263	0.2524636179
264	0.2524561768
265	0.2524423536
266	0.2524313025
267	0.2524153413
268	0.2524008886
269	0.252386821
270	0.2523760582
271	0.2523596617
272	0.2523472588
273	0.2523385812
274	0.2523281626
275	0.2523165014
276	0.2523036291
277	0.2522929024
278	0.2522847406
279	0.2522680095
280	0.2522577575
281	0.2522466547
282	0.2522373752
283	0.252228137
284	0.2522171527
285	0.2522056927
286	0.2521932179
287	0.2521796092
288	0.2521719175
289	0.2521595159
290	0.2521508458
291	0.2521369492
292	0.2521222939
293	0.2521103
294	0.2520954907
295	0.2520787838
296	0.2520673722
297	0.2520572474
298	0.2520453221
299	0.2520334114
300	0.2520184601
301	0.2520038144
302	0.2519893772
303	0.2519816594
304	0.2519701524
305	0.2519594255
306	0.2519452774
307	0.2519375533
308	0.2519190025
309	0.2519096251
310	0.2518984799
311	0.2518857584
312	0.2518755971
313	0.2518643497
314	0.25185794
315	0.2518446282
316	0.2518318042
317	0.2518246165
318	0.2518131405
319	0.2518035959
320	0.2517900581
321	0.2517813667
322	0.2517676406
323	0.2517535544
324	0.2517416452
325	0.2517300111
326	0.2517179253
327	0.2517076223
328	0.2516930147
329	0.2516860097
330	0.2516766017
331	0.2516614713
332	0.2516485828
333	0.2516414982
334	0.2516310987
335	0.2516233184
336	0.2516151704
337	0.2516024458
338	0.2515853049
339	0.2515737649
340	0.2515634336
341	0.2515534087
342	0.2515386563
343	0.2515291467
344	0.2515157012
345	0.2515072362
346	0.2514946228
347	0.2514812546
348	0.2514652299
349	0.2514540506
350	0.2514441427
351	0.2514339354
352	0.2514333137
353	0.2514230567
354	0.2514081716
355	0.2513979248
356	0.251390257
357	0.2513784693
358	0.2513692894
359	0.2513570494
360	0.2513470032
361	0.2513374038
362	0.2513223601
363	0.2513115203
364	0.2512987052
365	0.2512894031
366	0.2512793621
367	0.2512683629
368	0.2512579059
369	0.2512442228
370	0.2512306657
371	0.2512163068
372	0.2512060403
373	0.2511938565
374	0.2511811516
375	0.2511692355
376	0.2511557518
377	0.2511464793
378	0.2511358526
379	0.2511220832
380	0.2511120732
381	0.2511030627
382	0.2510928526
383	0.2510826995
384	0.2510715207
385	0.2510593093
386	0.2510490436
387	0.2510359603
388	0.2510271799
389	0.2510148078
390	0.2510042407
391	0.2509950358
392	0.2509816404
393	0.2509694177
394	0.2509613826
395	0.2509485128
396	0.2509391594
397	0.250929788
398	0.2509192346
399	0.250906748
400	0.2508968885
401	0.2508850718
402	0.250874013
403	0.2508611774
404	0.2508485625
405	0.2508369877
406	0.2508247736
407	0.2508137251
408	0.2507991
409	0.2507873809
410	0.2507775655
411	0.250764036
412	0.2507571244
413	0.2507490916
414	0.2507378411
415	0.2507264165
416	0.2507165006
417	0.2507044039
418	0.250691266
419	0.2506786848
420	0.2506688028
421	0.2506601141
422	0.2506494955
423	0.2506329778
424	0.2506208531
425	0.250609089
426	0.2505983305
427	0.2505852805
428	0.250574557
429	0.2505630241
430	0.2505544941
431	0.250542888
432	0.2505346761
433	0.2505231044
434	0.2505136986
435	0.2505024406
436	0.250491373
437	0.2504817765
438	0.2504755215
439	0.2504603303
440	0.250445637
441	0.2504335139
442	0.25042475
443	0.2504183156
444	0.2504080433
445	0.250396475
446	0.2503858084
447	0.2503736819
448	0.2503661366
449	0.250351403
450	0.2503426662
451	0.250334026
452	0.2503210433
453	0.2503085309
454	0.2502978604
455	0.2502867855
456	0.2502780273
457	0.250266784
458	0.2502521476
459	0.2502419186
460	0.2502309057
461	0.2502198348
462	0.2502082198
463	0.2501978043
464	0.250184438
465	0.2501735896
466	0.2501613528
467	0.2501506881
468	0.2501389512
469	0.2501254802
470	0.2501158985
471	0.2501032321
472	0.2500936462
473	0.2500828072
474	0.2500678265
475	0.2500570582
476	0.2500448147
477	0.2500309969
478	0.2500215368
479	0.2500062332
480	0.2499960998
481	0.2499861649
482	0.2499768816
483	0.2499665697
484	0.2499547729
485	0.2499430349
486	0.2499326602
487	0.2499198412
488	0.2499077783
489	0.2498953787
490	0.2498850317
491	0.2498750248
492	0.249862453
493	0.2498499527
494	0.249835652
495	0.2498273893
496	0.2498115833
497	0.2498005269
498	0.2497907668
499	0.2497758491
500	0.2497674092
501	0.2497552342
502	0.2497453578
503	0.2497333904
504	0.2497184951
505	0.2497083301
506	0.2496958936
507	0.2496857177
508	0.2496726048
509	0.2496639817
510	0.2496560294
511	0.2496461994
512	0.249636164
513	0.2496265211
514	0.2496171027
515	0.2496014026
516	0.2495921113
517	0.2495818902
518	0.2495684682
519	0.2495573578
520	0.2495453184
521	0.249530188
522	0.2495214025
523	0.2495137599
524	0.2495019697
525	0.2494914249
526	0.2494806373
527	0.2494703542
528	0.2494555605
529	0.2494429201
530	0.2494288268
531	0.2494150959
532	0.2494031509
533	0.2493924839
534	0.2493844412
535	0.2493699371
536	0.2493551103
537	0.2493442459
538	0.249336735
539	0.2493259966
540	0.2493175117
541	0.2493089725
542	0.2492988568
543	0.2492869636
544	0.2492786065
545	0.249270437
546	0.2492568406
547	0.2492452901
548	0.2492316743
549	0.2492190907
550	0.2492103741
551	0.2492011404
552	0.2491935657
553	0.2491833647
554	0.2491732486
555	0.2491613743
556	0.2491507425
557	0.2491404183
558	0.2491285217
559	0.2491172908
560	0.249104626
561	0.2490927695
562	0.2490816648
563	0.2490734185
564	0.2490623548
565	0.2490539849
566	0.249041854
567	0.2490309287
568	0.2490194626
569	0.249009199
570	0.2489977256
571	0.2489843612
572	0.2489684285
573	0.2489583329
574	0.2489488478
575	0.2489421979
576	0.2489352395
577	0.248922967
578	0.2489120122
579	0.2489010859
580	0.2488910809
581	0.2488826472
582	0.2488741214
583	0.2488609695
584	0.2488463456
585	0.2488388929
586	0.2488304527
587	0.2488204938
588	0.2488086514
589	0.2487966996
590	0.2487850447
591	0.2487716265
592	0.2487619201
593	0.248754822
594	0.2487477043
595	0.2487386835
596	0.2487277882
597	0.248718518
598	0.2487076171
599	0.2486968274
